assignment_id,source_family_id,slot,annotator_id,status
pilot:f7c75522dec64ea3,doi:10.1038/s41467-024-52543-8,A,,unassigned
pilot:13075ca20f52312d,doi:10.1038/s41556-021-00700-2,A,,unassigned
pilot:f42e6b99a3d8a369,doi:10.1186/1471-2121-14-16,A,,unassigned
pilot:8f74d8c17729abf7,doi:10.1002/advs.202511538,B,,unassigned
pilot:b9005dee60be7ebf,doi:10.1126/sciadv.ady8382,B,,unassigned
pilot:b7fa8e431c09a2d2,doi:10.1371/journal.pone.0181085,B,,unassigned
pilot:3de104816b4fe441,doi:10.7554/elife.45853,B,,unassigned
pilot:272c0fc97943299d,doi:10.1038/s41586-025-09770-w,B,,unassigned
pilot:3b786ccb8bf872ce,doi:10.1186/s12943-017-0599-6,B,,unassigned
pilot:2220dfe6d651ab91,doi:10.1371/journal.pone.0045877,B,,unassigned
pilot:1442e780d5786bf5,doi:10.3892/ijmm.2016.2542,B,,unassigned
pilot:7f26ab9d13733d5a,doi:10.1038/s41556-020-0546-4,B,,unassigned
pilot:e4ac641faf9b3610,doi:10.1038/s41556-025-01807-6,B,,unassigned
pilot:0d43ddf0f9659d53,doi:10.1038/s44318-024-00309-9,B,,unassigned
pilot:09eef0c367096b73,doi:10.1242/jcs.263938,B,,unassigned
pilot:691f692ada26c6db,doi:10.15252/msb.202110505,B,,unassigned
pilot:8d92dec45385c1ac,doi:10.1038/ncomms11642,B,,unassigned
pilot:3930ffa0200d413d,doi:10.1038/s41467-021-26296-7,B,,unassigned
pilot:b49909cc8406efe1,doi:10.1038/s41586-026-10398-7,B,,unassigned
pilot:32c70d166e5cecd6,doi:10.1083/jcb.201906204,B,,unassigned
pilot:d88bfd0c8be51b5c,doi:10.1016/j.cell.2017.07.038,B,,unassigned
pilot:9c8206f2b508aedf,doi:10.1016/j.stem.2018.09.008,B,,unassigned
pilot:c3983b514ac7a14d,doi:10.1038/ncb3492,B,,unassigned
pilot:590640faa56b67e4,doi:10.1038/s41586-018-0444-0,B,,unassigned
pilot:a95a27da437348bb,doi:10.1038/ncomms15206,B,,unassigned
pilot:f519f155bcddc107,doi:10.1038/s41467-018-06684-2,B,,unassigned
pilot:db18245692315114,doi:10.1113/jp272927,B,,unassigned
pilot:e9f6cb4b2aed7bbf,doi:10.1161/atvbaha.123.320300,B,,unassigned
pilot:da8d36e5614afd33,doi:10.1038/bjc.2012.395,B,,unassigned
pilot:bb54a66cebe436d6,doi:10.1038/s41467-019-12103-x,B,,unassigned
pilot:adfd530008e15d27,doi:10.1038/srep32418,B,,unassigned
pilot:f4cd3b0f8d90e186,doi:10.1186/s13395-015-0030-1,B,,unassigned
pilot:407de485cca3afc8,doi:10.1371/journal.pone.0075997,B,,unassigned
pilot:a79f8528166b86f6,doi:10.1002/advs.202516423,B,,unassigned
pilot:989302054bacf63a,doi:10.1038/s41556-025-01773-z,B,,unassigned
pilot:543a1cf29a140daf,doi:10.1038/s41563-025-02463-9,B,,unassigned
pilot:f9ddfd71f56f9a90,doi:10.1038/s41563-025-02473-7,B,,unassigned
pilot:122ea2ef6bcf6f4e,doi:10.1002/advs.202502074,B,,unassigned
pilot:a2d16ef50a7de195,doi:10.1038/ncb2859,B,,unassigned
pilot:751e779eccda7bc8,doi:10.1038/ncomms13119,B,,unassigned
pilot:66a97ba660507938,doi:10.1093/nar/gkt245,B,,unassigned
pilot:677c583d0d276d2c,doi:10.1016/j.cell.2020.03.052,B,,unassigned
pilot:3a67175a8123309a,doi:10.1038/s41467-026-71194-5,B,,unassigned
pilot:4fcdd7305402c696,doi:10.1038/s41556-025-01767-x,B,,unassigned
pilot:d43e76fb29ab4962,doi:10.1083/jcb.201902057,B,,unassigned
pilot:18c84f092c5481f1,doi:10.1002/advs.202413376,B,,unassigned
pilot:05edd1d2ed5c4f6b,doi:10.1038/s41556-025-01820-9,B,,unassigned
pilot:9eafa5edc0171ca9,doi:10.1073/pnas.2217019121,B,,unassigned
pilot:5aabdd7f7dd6f7a8,doi:10.1126/sciadv.ads6132,B,,unassigned
pilot:a858532a072d9ceb,doi:10.1016/j.tox.2011.12.002,B,,unassigned
pilot:c92dd0b0b1f6fd9f,doi:10.1038/s41467-024-52543-8,B,,unassigned
pilot:e7ac75796f354b81,doi:10.1038/s41556-021-00700-2,B,,unassigned
pilot:96e750b76cccfca0,doi:10.1186/1471-2121-14-16,B,,unassigned
