journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Biochemistry,6,2013,2019,JIF,,,,,pending_licensed_jcr_lookup
Biology of the cell,6,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
Biomacromolecules,6,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials science,6,2014,2021,JIF,,,,,pending_licensed_jcr_lookup
Cell biochemistry and biophysics,6,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
Cell reports,6,2013,2020,JIF,,,,,pending_licensed_jcr_lookup
Computer methods in biomechanics and biomedical engineering,6,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
European cells & materials,6,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in cellular neuroscience,6,2014,2018,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in immunology,6,2012,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of physics. Condensed matter : an Institute of Physics journal,6,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
Neuron,6,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
"Nucleus (Austin, Tex.)",6,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
PLoS computational biology,6,2013,2018,JIF,,,,,pending_licensed_jcr_lookup
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",6,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Seminars in cell & developmental biology,6,2015,2017,JIF,,,,,pending_licensed_jcr_lookup
The Journal of neuroscience : the official journal of the Society for Neuroscience,6,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
American journal of physiology. Cell physiology,5,2013,2019,JIF,,,,,pending_licensed_jcr_lookup
American journal of physiology. Heart and circulatory physiology,5,2012,2020,JIF,,,,,pending_licensed_jcr_lookup
Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,5,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
BioMed research international,5,2014,2016,JIF,,,,,pending_licensed_jcr_lookup
Bone,5,2012,2021,JIF,,,,,pending_licensed_jcr_lookup
Cancers,5,2017,2021,JIF,,,,,pending_licensed_jcr_lookup
Cellular and molecular life sciences : CMLS,5,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
Current topics in membranes,5,2017,2021,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in oncology,5,2018,2021,JIF,,,,,pending_licensed_jcr_lookup
IEEE transactions on nanobioscience,5,2015,2018,JIF,,,,,pending_licensed_jcr_lookup
Journal of molecular recognition : JMR,5,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
"Materials science & engineering. C, Materials for biological applications",5,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
"Microcirculation (New York, N.Y. : 1994)",5,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Micromachines,5,2017,2020,JIF,,,,,pending_licensed_jcr_lookup
Nature protocols,5,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Physical review letters,5,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Beilstein journal of nanotechnology,4,2013,2019,JIF,,,,,pending_licensed_jcr_lookup
"BioEssays : news and reviews in molecular, cellular and developmental biology",4,2011,2020,JIF,,,,,pending_licensed_jcr_lookup
"Bioengineering (Basel, Switzerland)",4,2017,2021,JIF,,,,,pending_licensed_jcr_lookup
Cold Spring Harbor perspectives in biology,4,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Cold Spring Harbor protocols,4,2010,2013,JIF,,,,,pending_licensed_jcr_lookup
Comprehensive Physiology,4,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,4,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
Journal of cellular physiology,4,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
Journal of theoretical biology,4,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
Molecular & cellular biomechanics : MCB,4,2011,2014,JIF,,,,,pending_licensed_jcr_lookup
Progress in molecular biology and translational science,4,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Science advances,4,2016,2021,JIF,,,,,pending_licensed_jcr_lookup
Science signaling,4,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
The international journal of biochemistry & cell biology,4,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",3,2019,2021,JIF,,,,,pending_licensed_jcr_lookup
Analytical chemistry,3,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,3,2011,2015,JIF,,,,,pending_licensed_jcr_lookup
Annual review of cell and developmental biology,3,2014,2016,JIF,,,,,pending_licensed_jcr_lookup
Biomedical optics express,3,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
Cell adhesion & migration,3,2012,2016,JIF,,,,,pending_licensed_jcr_lookup
Circulation research,3,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
"Colloids and surfaces. B, Biointerfaces",3,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Communications biology,3,2019,2021,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in biotechnology,3,2013,2020,JIF,,,,,pending_licensed_jcr_lookup
Differentiation; research in biological diversity,3,2013,2017,JIF,,,,,pending_licensed_jcr_lookup
Emerging topics in life sciences,3,2018,2021,JIF,,,,,pending_licensed_jcr_lookup
European biophysics journal : EBJ,3,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Experimental eye research,3,2018,2021,JIF,,,,,pending_licensed_jcr_lookup
International journal of nanomedicine,3,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
Journal of biomedical materials research. Part A,3,2010,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of cellular biochemistry,3,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
Journal of leukocyte biology,3,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of nanobiotechnology,3,2020,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of orthopaedic research : official publication of the Orthopaedic Research Society,3,2010,2019,JIF,,,,,pending_licensed_jcr_lookup
Medical & biological engineering & computing,3,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
"Methods (San Diego, Calif.)",3,2011,2013,JIF,,,,,pending_licensed_jcr_lookup
"Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada",3,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Microscopy research and technique,3,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
Molecular medicine reports,3,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
"Nanomedicine : nanotechnology, biology, and medicine",3,2013,2016,JIF,,,,,pending_licensed_jcr_lookup
Nanoscale research letters,3,2013,2014,JIF,,,,,pending_licensed_jcr_lookup
Nature nanotechnology,3,2012,2015,JIF,,,,,pending_licensed_jcr_lookup
Open biology,3,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
PLoS biology,3,2011,2018,JIF,,,,,pending_licensed_jcr_lookup
Pflugers Archiv : European journal of physiology,3,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
Physical review. E,3,2017,2021,JIF,,,,,pending_licensed_jcr_lookup
Progress in biophysics and molecular biology,3,2011,2016,JIF,,,,,pending_licensed_jcr_lookup
Science China. Life sciences,3,2013,2019,JIF,,,,,pending_licensed_jcr_lookup
"Sensors (Basel, Switzerland)",3,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
Stem cell research & therapy,3,2013,2018,JIF,,,,,pending_licensed_jcr_lookup
"Stem cells (Dayton, Ohio)",3,2012,2015,JIF,,,,,pending_licensed_jcr_lookup
The EMBO journal,3,2014,2021,JIF,,,,,pending_licensed_jcr_lookup
The Journal of clinical investigation,3,2011,2016,JIF,,,,,pending_licensed_jcr_lookup
The Journal of physiology,3,2014,2017,JIF,,,,,pending_licensed_jcr_lookup
The journal of physical chemistry. B,3,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
Tissue engineering. Part A,3,2014,2016,JIF,,,,,pending_licensed_jcr_lookup
Wiley interdisciplinary reviews. Systems biology and medicine,3,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
iScience,3,2018,2021,JIF,,,,,pending_licensed_jcr_lookup
ACS applied bio materials,2,2019,2020,JIF,,,,,pending_licensed_jcr_lookup
Accounts of chemical research,2,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
"Advanced materials (Deerfield Beach, Fla.)",2,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
Ageing research reviews,2,2020,2021,JIF,,,,,pending_licensed_jcr_lookup
American journal of cancer research,2,2018,2020,JIF,,,,,pending_licensed_jcr_lookup
American journal of physiology. Renal physiology,2,2010,2014,JIF,,,,,pending_licensed_jcr_lookup
Angewandte Chemie (International ed. in English),2,2020,2021,JIF,,,,,pending_licensed_jcr_lookup
Annals of the New York Academy of Sciences,2,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Applied microbiology and biotechnology,2,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
"Arteriosclerosis, thrombosis, and vascular biology",2,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
BMC biology,2,2014,2015,JIF,,,,,pending_licensed_jcr_lookup
BMC cell biology,2,2013,2017,JIF,,,,,pending_licensed_jcr_lookup
Biochimica et biophysica acta. Biomembranes,2,2017,2020,JIF,,,,,pending_licensed_jcr_lookup
Biointerphases,2,2011,2013,JIF,,,,,pending_licensed_jcr_lookup
Biology open,2,2013,2016,JIF,,,,,pending_licensed_jcr_lookup
Biotechnology and bioengineering,2,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Biotechnology journal,2,2015,2020,JIF,,,,,pending_licensed_jcr_lookup
Bone research,2,2020,2021,JIF,,,,,pending_licensed_jcr_lookup
Cancer science,2,2017,2018,JIF,,,,,pending_licensed_jcr_lookup
Cardiovascular research,2,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
Cell communication & adhesion,2,2014,2015,JIF,,,,,pending_licensed_jcr_lookup
Clinical calcium,2,2016,2018,JIF,,,,,pending_licensed_jcr_lookup
Communicative & integrative biology,2,2012,2015,JIF,,,,,pending_licensed_jcr_lookup
Connective tissue research,2,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
Critical reviews in biomedical engineering,2,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in chemical biology,2,2012,2019,JIF,,,,,pending_licensed_jcr_lookup
Current osteoporosis reports,2,2012,2018,JIF,,,,,pending_licensed_jcr_lookup
Current pharmaceutical biotechnology,2,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
Current protein & peptide science,2,2012,2018,JIF,,,,,pending_licensed_jcr_lookup
Current rheumatology reports,2,2014,2018,JIF,,,,,pending_licensed_jcr_lookup
Current stem cell research & therapy,2,2013,2020,JIF,,,,,pending_licensed_jcr_lookup
Current topics in developmental biology,2,2011,2015,JIF,,,,,pending_licensed_jcr_lookup
"Development (Cambridge, England)",2,2012,2019,JIF,,,,,pending_licensed_jcr_lookup
Environmental science & technology,2,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
European journal of cell biology,2,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
F1000prime reports,2,2013,2014,JIF,,,,,pending_licensed_jcr_lookup
Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in pharmacology,2,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in plant science,2,2014,2015,JIF,,,,,pending_licensed_jcr_lookup
"Hepatology (Baltimore, Md.)",2,2011,2016,JIF,,,,,pending_licensed_jcr_lookup
Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,2,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
Inflammatory bowel diseases,2,2013,2014,JIF,,,,,pending_licensed_jcr_lookup
Interface focus,2,2014,2016,JIF,,,,,pending_licensed_jcr_lookup
International review of cell and molecular biology,2,2014,2020,JIF,,,,,pending_licensed_jcr_lookup
Journal of biological physics,2,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of clinical medicine,2,2017,2020,JIF,,,,,pending_licensed_jcr_lookup
Journal of functional biomaterials,2,2011,2012,JIF,,,,,pending_licensed_jcr_lookup
"Journal of micromechanics and microengineering : structures, devices, and systems",2,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of nanotechnology in engineering and medicine,2,2010,2010,JIF,,,,,pending_licensed_jcr_lookup
Journal of structural biology,2,2011,2012,JIF,,,,,pending_licensed_jcr_lookup
MethodsX,2,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
"Nanomaterials (Basel, Switzerland)",2,2019,2021,JIF,,,,,pending_licensed_jcr_lookup
"Nanomedicine (London, England)",2,2012,2013,JIF,,,,,pending_licensed_jcr_lookup
Nature reviews. Cancer,2,2012,2014,JIF,,,,,pending_licensed_jcr_lookup
Nature reviews. Neuroscience,2,2011,2012,JIF,,,,,pending_licensed_jcr_lookup
Nature reviews. Rheumatology,2,2015,2020,JIF,,,,,pending_licensed_jcr_lookup
Oncotarget,2,2016,2017,JIF,,,,,pending_licensed_jcr_lookup
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",2,2014,2021,JIF,,,,,pending_licensed_jcr_lookup
Plastic and reconstructive surgery. Global open,2,2014,2015,JIF,,,,,pending_licensed_jcr_lookup
RSC advances,2,2019,2021,JIF,,,,,pending_licensed_jcr_lookup
Regenerative medicine,2,2011,2014,JIF,,,,,pending_licensed_jcr_lookup
Reports on progress in physics. Physical Society (Great Britain),2,2014,2017,JIF,,,,,pending_licensed_jcr_lookup
"Science (New York, N.Y.)",2,2011,2013,JIF,,,,,pending_licensed_jcr_lookup
Science and technology of advanced materials,2,2012,2020,JIF,,,,,pending_licensed_jcr_lookup
Science translational medicine,2,2017,2018,JIF,,,,,pending_licensed_jcr_lookup
Stem cells international,2,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
The Analyst,2,2010,2012,JIF,,,,,pending_licensed_jcr_lookup
"Tissue engineering. Part B, Reviews",2,2011,2012,JIF,,,,,pending_licensed_jcr_lookup
"Tissue engineering. Part C, Methods",2,2019,2021,JIF,,,,,pending_licensed_jcr_lookup
ACS central science,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
ACS chemical biology,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
ACS chemical neuroscience,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
AIP advances,1,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
ASAIO journal (American Society for Artificial Internal Organs : 1992),1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Acta biochimica et biophysica Sinica,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Acta naturae,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Acta obstetricia et gynecologica Scandinavica,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Acta pharmacologica Sinica,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Acta reumatologica portuguesa,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Advances in food and nutrition research,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Aging,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Aging cell,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
American journal of physiology. Lung cellular and molecular physiology,1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
American journal of respiratory cell and molecular biology,1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
"Anatomical record (Hoboken, N.J. : 2007)",1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Annales de dermatologie et de venereologie,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Annual review of biophysics,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Archives of trauma research,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
"Aviation, space, and environmental medicine",1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
BJOG : an international journal of obstetrics and gynaecology,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
BMB reports,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
BMC bioinformatics,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
BMC cancer,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Bio-protocol,1,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
BioTechniques,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Bioarchitecture,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Biochemical Society transactions,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Biochemistry and cell biology = Biochimie et biologie cellulaire,1,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Biochemistry research international,1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
Biochimica et biophysica acta. General subjects,1,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Biochimica et biophysica acta. Reviews on cancer,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Biochimie,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Bioelectromagnetics,1,2010,2010,JIF,,,,,pending_licensed_jcr_lookup
Biofabrication,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Biological & pharmaceutical bulletin,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Biological chemistry,1,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
Biology letters,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Biomatter,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Biomedical engineering online,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Biomeditsinskaia khimiia,1,2010,2010,JIF,,,,,pending_licensed_jcr_lookup
Biomedizinische Technik. Biomedical engineering,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Biomolecules,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Biophysical chemistry,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
Biophysics and physicobiology,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Biorheology,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
Biosensors,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
Biosensors & bioelectronics,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
"Birth defects research. Part C, Embryo today : reviews",1,2010,2010,JIF,,,,,pending_licensed_jcr_lookup
Bone reports,1,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
BoneKEy reports,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
Bulletin of mathematical biology,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Cancer cell international,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Cancer letters,1,2010,2010,JIF,,,,,pending_licensed_jcr_lookup
Cancer metastasis reviews,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Cancer research,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Cartilage,1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
Cell and tissue research,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Cell death & disease,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Cell death and differentiation,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
Cell metabolism,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Cell proliferation,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Cell stem cell,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Cell systems,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Cell transplantation,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Cells & development,1,2021,2021,JIF,,,,,pending_licensed_jcr_lookup
Cellular microbiology,1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
"Channels (Austin, Tex.)",1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Chemical research in toxicology,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Chemical reviews,1,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
"Chemistry (Weinheim an der Bergstrasse, Germany)",1,2020,2020,JIF,,,,,pending_licensed_jcr_lookup
Chemistry and physics of lipids,1,2012,2012,JIF,,,,,pending_licensed_jcr_lookup
"Chemistry, an Asian journal",1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
Circulation,1,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
Clinical & experimental metastasis,1,2018,2018,JIF,,,,,pending_licensed_jcr_lookup
Clinical and experimental pharmacology & physiology,1,2013,2013,JIF,,,,,pending_licensed_jcr_lookup
"Clinical biomechanics (Bristol, Avon)",1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
Clinical hemorheology and microcirculation,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Computational and mathematical methods in medicine,1,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Convergent science physical oncology,1,2017,2017,JIF,,,,,pending_licensed_jcr_lookup
Current cardiology reports,1,2011,2011,JIF,,,,,pending_licensed_jcr_lookup
Current molecular biology reports,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Current molecular medicine,1,2014,2014,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in chemical engineering,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in genetics & development,1,2016,2016,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in microbiology,1,2015,2015,JIF,,,,,pending_licensed_jcr_lookup
