journal,jcr_title,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,verification_status,verification_note,authority_status
Molecular biology of the cell,MOLECULAR BIOLOGY OF THE CELL,12,2024,2026,JIF,3.0,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=MOL%20BIOL%20CELL&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
iScience,iScience,12,2023,2026,JIF,4.5,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=ISCIENCE&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Communications biology,Communications Biology,11,2024,2026,JIF,5.8,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=COMMUN%20BIOL&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Journal of cell science,JOURNAL OF CELL SCIENCE,11,2025,2026,JIF,3.9,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=J%20CELL%20SCI&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Soft matter,Soft Matter,11,2021,2026,JIF,2.9,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=SOFT%20MATTER&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Science advances,UNKNOWN,10,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Cells,UNKNOWN,8,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
"Methods in molecular biology (Clifton, N.J.)",UNKNOWN,8,2022,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Physical review. E,UNKNOWN,8,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
The Journal of cell biology,UNKNOWN,8,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
ACS applied materials & interfaces,UNKNOWN,7,2022,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Advanced healthcare materials,UNKNOWN,7,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Bio-protocol,UNKNOWN,7,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Cellular and molecular bioengineering,UNKNOWN,7,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Current biology : CB,UNKNOWN,7,2022,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
"Nucleus (Austin, Tex.)",UNKNOWN,7,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
eLife,UNKNOWN,7,2022,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Cold Spring Harbor perspectives in biology,UNKNOWN,6,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Investigative ophthalmology & visual science,UNKNOWN,6,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Nature cell biology,UNKNOWN,6,2021,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Nature methods,UNKNOWN,6,2022,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
PloS one,UNKNOWN,6,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
ACS nano,UNKNOWN,5,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
APL bioengineering,UNKNOWN,5,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Biomechanics and modeling in mechanobiology,UNKNOWN,5,2023,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Cell communication and signaling : CCS,UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
"Development (Cambridge, England)",UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Developmental cell,UNKNOWN,5,2023,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Frontiers in bioengineering and biotechnology,UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Materials today. Bio,UNKNOWN,5,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Microscopy research and technique,UNKNOWN,5,2023,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Molecular biology reports,UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
"Sensors (Basel, Switzerland)",UNKNOWN,5,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Ultrasonics,UNKNOWN,5,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
BMC bioinformatics,UNKNOWN,4,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Biomaterials,UNKNOWN,4,2025,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Biomaterials advances,UNKNOWN,4,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Computer methods and programs in biomedicine,UNKNOWN,4,2026,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
Computers in biology and medicine,UNKNOWN,4,2024,2026,JIF,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-05,UNKNOWN_ACCESS_FAILED,Chrome extension disconnected after 15 profile verifications; no substitute metric used,proposed
